Date : 2023-05-09 20:50:23
Directory : c:\Users\Tochi\Documents\webtoolsClone\webtools
Total : 688 files,  116311 codes, 9009 comments, 17588 blanks, all 142908 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\javascript-lint.js              | JavaScript   |         52 |          5 |          9 |         66 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\json-lint.js                    | JavaScript   |         29 |          6 |          6 |         41 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\lint.css                        | CSS          |         67 |          1 |         12 |         80 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\lint.js                         | JavaScript   |        250 |          8 |         34 |        292 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\yaml-lint.js                    | JavaScript   |         27 |          9 |          6 |         42 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\merge\merge.css                      | CSS          |        104 |          0 |         16 |        120 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\merge\merge.js                       | JavaScript   |        895 |         26 |         98 |      1,019 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\loadmode.js                     | JavaScript   |         59 |          2 |          6 |         67 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\multiplex.js                    | JavaScript   |        116 |          4 |         17 |        137 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\multiplex_test.js               | JavaScript   |         38 |          2 |         10 |         50 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\overlay.js                      | JavaScript   |         67 |         12 |         12 |         91 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\simple.js                       | JavaScript   |        197 |          2 |         18 |        217 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\colorize.js                  | JavaScript   |         31 |          2 |          8 |         41 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode-standalone.js        | JavaScript   |        274 |         28 |         33 |        335 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode.js                   | JavaScript   |         64 |          7 |          6 |         77 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode.node.js              | JavaScript   |        272 |         27 |         31 |        330 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\annotatescrollbar.js          | JavaScript   |        111 |          2 |         16 |        129 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\scrollpastend.js              | JavaScript   |         42 |          2 |          5 |         49 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\simplescrollbars.css          | CSS          |         57 |          0 |         10 |         67 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\simplescrollbars.js           | JavaScript   |        130 |          2 |         21 |        153 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\jump-to-line.js               | JavaScript   |         40 |          4 |         10 |         54 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\match-highlighter.js          | JavaScript   |        134 |         19 |         15 |        168 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\matchesonscrollbar.css        | CSS          |          8 |          0 |          1 |          9 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\matchesonscrollbar.js         | JavaScript   |         83 |          2 |         13 |         98 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\search.js                     | JavaScript   |        261 |         10 |         25 |        296 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\searchcursor.js               | JavaScript   |        266 |         12 |         28 |        306 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\active-line.js             | JavaScript   |         64 |          2 |          7 |         73 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\mark-selection.js          | JavaScript   |         97 |          7 |         16 |        120 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\selection-pointer.js       | JavaScript   |         89 |          2 |          8 |         99 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\tern.css                        | CSS          |         81 |          0 |          7 |         88 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\tern.js                         | JavaScript   |        612 |         55 |         90 |        757 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\worker.js                       | JavaScript   |         34 |          3 |          8 |         45 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\wrap\hardwrap.js                     | JavaScript   |        143 |          5 |         13 |        161 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\bin\authors.sh                             | Shell Script |          5 |          1 |          1 |          7 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\bin\upload-release.js                      | JavaScript   |         39 |          0 |          6 |         45 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\activeline.html                       | HTML         |         79 |          0 |         10 |         89 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\anywordhint.html                      | HTML         |         68 |          0 |         10 |         78 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\bidi.html                             | HTML         |         94 |          1 |         12 |        107 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\btree.html                            | HTML         |         73 |          0 |         11 |         84 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\buffers.html                          | HTML         |         93 |          0 |         17 |        110 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\changemode.html                       | HTML         |         51 |          0 |          8 |         59 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\closebrackets.html                    | HTML         |         47 |          0 |          6 |         53 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\closetag.html                         | HTML         |         37 |          0 |          6 |         43 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\complete.html                         | HTML         |        113 |          0 |         14 |        127 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\emacs.html                            | HTML         |         68 |          0 |          9 |         77 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\folding.html                          | HTML         |        166 |          0 |         19 |        185 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\fullscreen.html                       | HTML         |         74 |          0 |         10 |         84 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\hardwrap.html                         | HTML         |         66 |          0 |         10 |         76 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\html5complete.html                    | HTML         |         48 |          0 |          9 |         57 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\indentwrap.html                       | HTML         |         50 |          0 |         10 |         60 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\lint.html                             | HTML         |        146 |          0 |         26 |        172 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\loadmode.html                         | HTML         |         67 |          0 |          6 |         73 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\marker.html                           | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\markselection.html                    | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\matchhighlighter.html                 | HTML         |         90 |          0 |         14 |        104 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\matchtags.html                        | HTML         |         40 |          0 |          9 |         49 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\merge.html                            | HTML         |        109 |          0 |         15 |        124 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\multiplex.html                        | HTML         |         67 |          0 |          9 |         76 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\mustache.html                         | HTML         |         62 |          0 |          8 |         70 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\panel.html                            | HTML         |        119 |          0 |         19 |        138 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\placeholder.html                      | HTML         |         38 |          0 |          8 |         46 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\preview.html                          | HTML         |         79 |          0 |          9 |         88 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\requirejs.html                        | HTML         |         61 |          0 |         10 |         71 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\resize.html                           | HTML         |         44 |          0 |          8 |         52 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\rulers.html                           | HTML         |         42 |          0 |          8 |         50 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\runmode-standalone.html               | HTML         |         51 |          0 |         11 |         62 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\runmode.html                          | HTML         |         52 |          0 |         11 |         63 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\search.html                           | HTML         |         90 |          0 |         10 |        100 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\simplemode.html                       | HTML         |        168 |          0 |         19 |        187 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\simplescrollbars.html                 | HTML         |         70 |          0 |         13 |         83 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\spanaffectswrapping_shim.html         | HTML         |         74 |          0 |         12 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\sublime.html                          | HTML         |         68 |          0 |         10 |         78 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\tern.html                             | HTML         |        112 |          0 |         22 |        134 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\theme.html                            | HTML         |        194 |          0 |          7 |        201 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\trailingspace.html                    | HTML         |         41 |          0 |          8 |         49 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\variableheight.html                   | HTML         |         56 |          0 |         12 |         68 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\vim.html                              | HTML         |        101 |          0 |         14 |        115 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\visibletabs.html                      | HTML         |         55 |          0 |          8 |         63 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\widget.html                           | HTML         |         73 |          0 |         13 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\xmlcomplete.html                      | HTML         |        107 |          0 |         13 |        120 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\activebookmark.js                      | JavaScript   |         52 |          1 |          5 |         58 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\docs.css                               | CSS          |        190 |          0 |         36 |        226 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\internals.html                         | HTML         |        439 |          0 |         66 |        505 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\logo.svg                               | XML          |         19 |          0 |          1 |         20 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\manual.html                            | HTML         |      3,347 |          0 |        415 |      3,762 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\realworld.html                         | HTML         |        200 |          0 |         10 |        210 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\releases.html                          | HTML         |      1,833 |          0 |        370 |      2,203 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\reporting.html                         | HTML         |         46 |          0 |         15 |         61 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\upgrade_v2.2.html                      | HTML         |         74 |          0 |         23 |         97 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\upgrade_v3.html                        | HTML         |        198 |          0 |         33 |        231 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\doc\upgrade_v4.html                        | HTML         |        109 |          0 |         36 |        145 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\index.php                                  | PHP          |          4 |          0 |          1 |          5 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\keymap\emacs.js                            | JavaScript   |        444 |         14 |         88 |        546 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\keymap\sublime.js                          | JavaScript   |        658 |          7 |         56 |        721 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\keymap\vim.js                              | JavaScript   |      5,022 |        722 |        234 |      5,978 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\lib\codemirror.css                         | CSS          |        279 |         23 |         43 |        345 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\lib\codemirror.js                          | JavaScript   |      7,882 |      1,025 |        968 |      9,875 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\apl\apl.js                            | JavaScript   |        166 |          2 |          7 |        175 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\apl\index.html                        | HTML         |         59 |          0 |         14 |         73 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asciiarmor\asciiarmor.js              | JavaScript   |         68 |          2 |          5 |         75 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asciiarmor\index.html                 | HTML         |         38 |          0 |          9 |         47 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asn.1\asn.1.js                        | JavaScript   |        186 |          4 |         15 |        205 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asn.1\index.html                      | HTML         |         69 |          0 |         10 |         79 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asterisk\asterisk.js                  | JavaScript   |        185 |         25 |         11 |        221 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\asterisk\index.html                   | HTML         |        130 |          0 |         26 |        156 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\brainfuck\brainfuck.js                | JavaScript   |         67 |         16 |          3 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\brainfuck\index.html                  | HTML         |         75 |          0 |         11 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clike\clike.js                        | JavaScript   |        716 |        176 |         49 |        941 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clike\index.html                      | HTML         |        319 |          0 |         62 |        381 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clike\scala.html                      | HTML         |        698 |          0 |         70 |        768 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clike\test.js                         | JavaScript   |        143 |          2 |         21 |        166 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clojure\clojure.js                    | JavaScript   |        254 |          6 |         33 |        293 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clojure\index.html                    | HTML         |         80 |          0 |         16 |         96 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\clojure\test.js                       | JavaScript   |        346 |          8 |         31 |        385 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cmake\cmake.js                        | JavaScript   |         80 |         10 |          8 |         98 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cmake\index.html                      | HTML         |        116 |          0 |         14 |        130 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cobol\cobol.js                        | JavaScript   |        240 |         10 |          6 |        256 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cobol\index.html                      | HTML         |        205 |          0 |          6 |        211 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\coffeescript\coffeescript.js          | JavaScript   |        291 |         25 |         44 |        360 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\coffeescript\index.html               | HTML         |        552 |          0 |        189 |        741 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\commonlisp\commonlisp.js              | JavaScript   |        109 |          2 |         15 |        126 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\commonlisp\index.html                 | HTML         |        158 |          0 |         20 |        178 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\crystal\crystal.js                    | JavaScript   |        347 |         20 |         67 |        434 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\crystal\index.html                    | HTML         |         93 |          0 |         24 |        117 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\css.js                            | JavaScript   |        796 |          8 |         59 |        863 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\gss.html                          | HTML         |         82 |          0 |         23 |        105 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\gss_test.js                       | JavaScript   |         11 |          2 |          5 |         18 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\index.html                        | HTML         |         66 |          0 |         16 |         82 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\less.html                         | HTML         |        131 |          0 |         22 |        153 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\less_test.js                      | JavaScript   |         44 |          2 |          9 |         55 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\scss.html                         | HTML         |        131 |          0 |         28 |        159 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\scss_test.js                      | JavaScript   |         78 |          2 |         31 |        111 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\css\test.js                           | JavaScript   |        164 |          6 |         48 |        218 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cypher\cypher.js                      | JavaScript   |        141 |          4 |          8 |        153 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cypher\index.html                     | HTML         |         59 |          0 |          6 |         65 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\cypher\test.js                        | JavaScript   |         24 |          2 |         12 |         38 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\d\d.js                                | JavaScript   |        202 |          3 |         19 |        224 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\d\index.html                          | HTML         |        235 |          0 |         39 |        274 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\d\test.js                             | JavaScript   |          6 |          2 |          4 |         12 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dart\dart.js                          | JavaScript   |        142 |          8 |         17 |        167 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dart\index.html                       | HTML         |         60 |          0 |         12 |         72 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\diff\diff.js                          | JavaScript   |         35 |          2 |         11 |         48 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\diff\index.html                       | HTML         |        108 |          0 |         10 |        118 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\django\django.js                      | JavaScript   |        266 |         45 |         46 |        357 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\django\index.html                     | HTML         |         66 |          0 |          8 |         74 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dockerfile\dockerfile.js              | JavaScript   |        193 |         10 |          9 |        212 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dockerfile\index.html                 | HTML         |         64 |          0 |         10 |         74 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dockerfile\test.js                    | JavaScript   |         27 |         97 |          5 |        129 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dtd\dtd.js                            | JavaScript   |        116 |          9 |         18 |        143 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dtd\index.html                        | HTML         |         75 |          3 |         12 |         90 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dylan\dylan.js                        | JavaScript   |        276 |         44 |         33 |        353 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dylan\index.html                      | HTML         |        352 |          0 |         56 |        408 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\dylan\test.js                         | JavaScript   |         76 |          3 |         10 |         89 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\ebnf\ebnf.js                          | JavaScript   |        156 |         25 |         15 |        196 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\ebnf\index.html                       | HTML         |         90 |          0 |         13 |        103 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\ecl\ecl.js                            | JavaScript   |        184 |          3 |         20 |        207 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\ecl\index.html                        | HTML         |         44 |          0 |          9 |         53 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\eiffel\eiffel.js                      | JavaScript   |        105 |         52 |          4 |        161 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\eiffel\index.html                     | HTML         |        376 |          0 |         54 |        430 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\elm\elm.js                            | JavaScript   |        216 |          2 |         28 |        246 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\elm\index.html                        | HTML         |         51 |          0 |         11 |         62 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\erlang\erlang.js                      | JavaScript   |        471 |         63 |         86 |        620 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\erlang\index.html                     | HTML         |         64 |          0 |         13 |         77 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\factor\factor.js                      | JavaScript   |         58 |         23 |          5 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\factor\index.html                     | HTML         |         62 |          0 |         16 |         78 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\fcl\fcl.js                            | JavaScript   |        143 |          3 |         28 |        174 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\fcl\index.html                        | HTML         |         92 |          0 |         17 |        109 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\forth\forth.js                        | JavaScript   |        155 |         12 |         14 |        181 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\forth\index.html                      | HTML         |         62 |          0 |         14 |         76 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\fortran\fortran.js                    | JavaScript   |        171 |          3 |         15 |        189 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\fortran\index.html                    | HTML         |         61 |          0 |         21 |         82 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gas\gas.js                            | JavaScript   |        296 |         17 |         41 |        354 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gas\index.html                        | HTML         |         57 |          0 |         12 |         69 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gfm\gfm.js                            | JavaScript   |        107 |         15 |          8 |        130 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gfm\index.html                        | HTML         |        108 |          0 |         29 |        137 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gfm\test.js                           | JavaScript   |        139 |          2 |         58 |        199 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gherkin\gherkin.js                    | JavaScript   |        124 |         30 |         25 |        179 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\gherkin\index.html                    | HTML         |         42 |          0 |          7 |         49 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\go\go.js                              | JavaScript   |        166 |          3 |         19 |        188 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\go\index.html                         | HTML         |         73 |          0 |         13 |         86 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\groovy\groovy.js                      | JavaScript   |        225 |          5 |         18 |        248 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\groovy\index.html                     | HTML         |         73 |          0 |         12 |         85 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haml\haml.js                          | JavaScript   |        133 |         13 |         16 |        162 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haml\index.html                       | HTML         |         68 |          1 |         11 |         80 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haml\test.js                          | JavaScript   |         70 |          4 |         24 |         98 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\handlebars\handlebars.js              | JavaScript   |         52 |          8 |         11 |         71 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\handlebars\index.html                 | HTML         |         65 |          0 |         18 |         83 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haskell-literate\haskell-literate.js  | JavaScript   |         37 |          2 |          5 |         44 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haskell-literate\index.html           | HTML         |        231 |          0 |         52 |        283 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haskell\haskell.js                    | JavaScript   |        231 |          3 |         35 |        269 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haskell\index.html                    | HTML         |         62 |          0 |         12 |         74 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haxe\haxe.js                          | JavaScript   |        450 |         13 |         53 |        516 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\haxe\index.html                       | HTML         |        110 |          0 |         15 |        125 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\htmlembedded\htmlembedded.js          | JavaScript   |         32 |          2 |          4 |         38 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\htmlembedded\index.html               | HTML         |         53 |          0 |          8 |         61 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\htmlmixed\htmlmixed.js                | JavaScript   |        134 |          2 |         18 |        154 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\htmlmixed\index.html                  | HTML         |         90 |          1 |         10 |        101 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\http\http.js                          | JavaScript   |         96 |          2 |         16 |        114 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\mode\http\index.html                       | HTML         |         36 |          0 |         10 |         46 |
